epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,2242.34,1.75546,1.08186,1.34277,0.5961,0.68334,0.63936,0.29347,1.83601,1.08852,1.42025,0.000955072,0.000955072,0.000955072
69,2275.13,1.74915,1.06598,1.32974,0.63757,0.65724,0.65591,0.30327,1.82985,1.0717,1.42261,0.000947999,0.000947999,0.000947999
70,2307.85,1.7489,1.06967,1.33689,0.62075,0.65615,0.64087,0.29868,1.82411,1.07808,1.41432,0.000940925,0.000940925,0.000940925
71,2340.79,1.7513,1.06684,1.34171,0.60011,0.67812,0.62492,0.28931,1.84305,1.09182,1.42544,0.000933851,0.000933851,0.000933851
72,2373.74,1.75841,1.0707,1.3381,0.61488,0.68508,0.64361,0.2977,1.85191,1.06965,1.42977,0.000926778,0.000926778,0.000926778
73,2406.63,1.7394,1.05202,1.33739,0.64404,0.66871,0.65766,0.30437,1.84297,1.06251,1.42,0.000919704,0.000919704,0.000919704
74,2439.44,1.74021,1.06388,1.333,0.62195,0.66528,0.64498,0.29941,1.84761,1.0643,1.42612,0.000912631,0.000912631,0.000912631
75,2472.3,1.74165,1.05514,1.3318,0.63126,0.6572,0.65006,0.29869,1.84785,1.05937,1.42996,0.000905557,0.000905557,0.000905557
76,2505.12,1.7524,1.05753,1.32867,0.6258,0.67027,0.65323,0.30432,1.82209,1.0645,1.40987,0.000898484,0.000898484,0.000898484
77,2537.8,1.74401,1.04893,1.32236,0.61385,0.68456,0.65379,0.30075,1.85426,1.06218,1.43213,0.00089141,0.00089141,0.00089141
78,2570.6,1.73809,1.05948,1.32327,0.61402,0.67909,0.65055,0.29715,1.84285,1.08276,1.42232,0.000884337,0.000884337,0.000884337
79,2603.38,1.74179,1.04849,1.33131,0.63185,0.66802,0.65459,0.30273,1.84686,1.05338,1.41837,0.000877263,0.000877263,0.000877263
80,2636.23,1.73985,1.04227,1.33121,0.65182,0.65076,0.65646,0.30227,1.84673,1.0589,1.41992,0.00087019,0.00087019,0.00087019
81,2669.01,1.73032,1.03122,1.32439,0.63256,0.67584,0.65782,0.30017,1.85153,1.05793,1.43247,0.000863116,0.000863116,0.000863116
82,2701.78,1.73375,1.0427,1.3248,0.6255,0.68924,0.65927,0.304,1.86019,1.0512,1.42766,0.000856042,0.000856042,0.000856042
83,2734.69,1.74293,1.05179,1.33121,0.60994,0.68971,0.64652,0.29913,1.8568,1.06384,1.42989,0.000848969,0.000848969,0.000848969
84,2767.55,1.72461,1.03414,1.32665,0.61583,0.67118,0.64584,0.29169,1.86085,1.05825,1.43323,0.000841895,0.000841895,0.000841895
85,2800.44,1.7397,1.03427,1.31862,0.62695,0.65964,0.64988,0.30064,1.85512,1.05596,1.43101,0.000834822,0.000834822,0.000834822
86,2833.1,1.73662,1.02895,1.32693,0.64969,0.67559,0.67518,0.30943,1.85121,1.0344,1.42422,0.000827748,0.000827748,0.000827748
87,2866.04,1.72277,1.03074,1.32399,0.62929,0.67307,0.66436,0.30629,1.85073,1.04758,1.42612,0.000820675,0.000820675,0.000820675
88,2898.77,1.71927,1.02159,1.31889,0.63603,0.66193,0.65259,0.30182,1.85675,1.05657,1.42452,0.000813601,0.000813601,0.000813601
89,2931.45,1.72973,1.02526,1.32623,0.65717,0.6553,0.66241,0.3031,1.85085,1.05198,1.42618,0.000806528,0.000806528,0.000806528
90,2964.13,1.72582,1.01611,1.32072,0.64437,0.64191,0.66101,0.30653,1.84649,1.067,1.42324,0.000799454,0.000799454,0.000799454
91,2996.82,1.72342,1.02024,1.31434,0.63204,0.67079,0.65769,0.30445,1.85057,1.06438,1.42985,0.00079238,0.00079238,0.00079238
92,3029.52,1.71305,1.00682,1.31201,0.65329,0.65666,0.6582,0.29683,1.87041,1.05452,1.43798,0.000785307,0.000785307,0.000785307
93,3062.28,1.70958,1.00542,1.31546,0.62969,0.66558,0.64827,0.29734,1.85955,1.05586,1.43266,0.000778233,0.000778233,0.000778233
94,3095,1.72482,1.00879,1.3214,0.62306,0.66761,0.64719,0.29626,1.86571,1.07516,1.43591,0.00077116,0.00077116,0.00077116
95,3127.85,1.71775,1.00094,1.3191,0.61771,0.66555,0.64953,0.30098,1.85617,1.07677,1.42332,0.000764086,0.000764086,0.000764086
96,3160.84,1.71781,1.00639,1.32118,0.61998,0.67657,0.65879,0.30253,1.85957,1.05601,1.41991,0.000757013,0.000757013,0.000757013
97,3193.83,1.71832,0.99788,1.31977,0.63062,0.65458,0.65319,0.30044,1.86306,1.06999,1.42504,0.000749939,0.000749939,0.000749939
98,3226.92,1.71074,1.00731,1.31224,0.62212,0.68526,0.65201,0.2992,1.84302,1.06269,1.41919,0.000742866,0.000742866,0.000742866
99,3259.83,1.71451,0.99681,1.30414,0.63092,0.65708,0.64785,0.30126,1.8505,1.06322,1.42519,0.000735792,0.000735792,0.000735792
100,3292.88,1.71684,0.99822,1.3141,0.60474,0.67723,0.64061,0.29398,1.86398,1.08129,1.43856,0.000728719,0.000728719,0.000728719
101,3325.83,1.70242,0.98807,1.31066,0.6475,0.67498,0.65724,0.30002,1.85981,1.04484,1.43689,0.000721645,0.000721645,0.000721645
102,3358.75,1.7022,0.99321,1.31655,0.62945,0.67363,0.65375,0.30162,1.86632,1.03898,1.43752,0.000714571,0.000714571,0.000714571
103,3392.05,1.69166,0.97631,1.30715,0.62765,0.66054,0.64902,0.30019,1.86617,1.05622,1.44221,0.000707498,0.000707498,0.000707498
104,3424.96,1.71122,0.98547,1.31421,0.64053,0.67178,0.66348,0.30696,1.86475,1.04008,1.43404,0.000700424,0.000700424,0.000700424
105,3457.77,1.69325,0.98028,1.30335,0.6136,0.67438,0.64278,0.29893,1.86334,1.05604,1.4339,0.000693351,0.000693351,0.000693351
106,3490.42,1.69783,0.97713,1.31087,0.62409,0.66742,0.65043,0.29875,1.8656,1.04838,1.43621,0.000686277,0.000686277,0.000686277
