epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
95,7461.77,0.86069,0.54113,1.09952,0.82727,0.80696,0.87312,0.7009,0.77544,0.66098,1.05329,0.000764086,0.000764086,0.000764086
96,7569.34,0.86155,0.54353,1.09967,0.82148,0.83968,0.88664,0.71022,0.77148,0.63576,1.05596,0.000757013,0.000757013,0.000757013
97,7673.58,0.85566,0.53484,1.09944,0.82782,0.81519,0.8782,0.70513,0.76714,0.64065,1.05609,0.000749939,0.000749939,0.000749939
98,7779.64,0.84738,0.5307,1.09704,0.8251,0.82661,0.88006,0.70509,0.76883,0.64377,1.06003,0.000742866,0.000742866,0.000742866
99,7875.41,0.84021,0.52837,1.08782,0.80282,0.84931,0.87819,0.7024,0.76147,0.63388,1.05086,0.000735792,0.000735792,0.000735792
100,7977.3,0.83153,0.5206,1.08128,0.79994,0.84807,0.87773,0.70738,0.75084,0.63309,1.04334,0.000728719,0.000728719,0.000728719
101,8088.35,0.83335,0.51812,1.08219,0.80911,0.82894,0.87179,0.70082,0.76275,0.66186,1.05213,0.000721645,0.000721645,0.000721645
102,8194.77,0.83056,0.51406,1.08001,0.81939,0.83087,0.88232,0.70708,0.76773,0.64136,1.0545,0.000714571,0.000714571,0.000714571
103,8296.75,0.81668,0.51247,1.07323,0.80438,0.83954,0.88236,0.70902,0.75843,0.64854,1.04698,0.000707498,0.000707498,0.000707498
104,8401.29,0.82868,0.50764,1.07841,0.80577,0.84379,0.87848,0.70952,0.74919,0.6417,1.04348,0.000700424,0.000700424,0.000700424
105,8507.08,0.82377,0.49947,1.07124,0.82587,0.84376,0.88125,0.70883,0.76032,0.6374,1.0499,0.000693351,0.000693351,0.000693351
106,8610.95,0.80765,0.48745,1.07084,0.82431,0.82933,0.87338,0.70088,0.76343,0.65016,1.05165,0.000686277,0.000686277,0.000686277
107,8712.49,0.81105,0.4921,1.06518,0.81629,0.82965,0.87758,0.7073,0.76286,0.65191,1.04925,0.000679204,0.000679204,0.000679204
108,8819.14,0.80588,0.49231,1.06627,0.83024,0.83614,0.87812,0.70815,0.76192,0.63248,1.04982,0.00067213,0.00067213,0.00067213
109,8924.73,0.80737,0.48527,1.06461,0.82946,0.82063,0.87076,0.69989,0.76365,0.66425,1.04831,0.000665057,0.000665057,0.000665057
110,9024.44,0.81061,0.48633,1.06563,0.80473,0.83924,0.87618,0.70894,0.75704,0.64562,1.04366,0.000657983,0.000657983,0.000657983
111,9138.48,0.79641,0.48028,1.05408,0.82349,0.82528,0.87172,0.70391,0.7541,0.64872,1.04578,0.000650909,0.000650909,0.000650909
112,9240.99,0.79892,0.47853,1.06167,0.82931,0.82163,0.87384,0.70546,0.74805,0.64634,1.042,0.000643836,0.000643836,0.000643836
113,9343.17,0.80369,0.47229,1.06468,0.82319,0.82246,0.87193,0.70054,0.75737,0.65146,1.04564,0.000636762,0.000636762,0.000636762
114,9443.27,0.80404,0.47138,1.05851,0.81258,0.84076,0.86772,0.70176,0.75542,0.6505,1.0384,0.000629689,0.000629689,0.000629689
115,9543.35,0.79553,0.46678,1.05631,0.82867,0.82335,0.86965,0.69942,0.76158,0.65482,1.04662,0.000622615,0.000622615,0.000622615
116,9645.42,0.78576,0.46546,1.05295,0.80735,0.84215,0.87705,0.70838,0.75151,0.65072,1.04241,0.000615542,0.000615542,0.000615542
